Date,MWh,uvIndex,HeatIndexC,WindChillC,humidity,tempC
2015-01-01 00:00:00.000,918.5252,4,5,0,72,5
2015-01-01 01:00:00.003,901.7701950209374,4,8,7,57,7
2015-01-01 01:59:59.997,890.150372972885,4,8,7,58,7
2015-01-01 03:00:00.000,880.926639273617,4,8,7,60,7
2015-01-01 04:00:00.003,883.9905758775569,4,8,7,62,7
2015-01-01 04:59:59.997,894.3203026650992,4,8,7,63,7
2015-01-01 06:00:00.000,909.1947829244342,4,8,7,64,7
2015-01-01 07:00:00.003,925.7515213463952,4,8,8,65,7
2015-01-01 07:59:59.997,941.8197726180342,4,8,9,62,8
2015-01-01 09:00:00.000,952.9035789932298,4,9,9,60,9
2015-01-01 10:00:00.003,979.1011623992962,4,10,10,57,10
2015-01-01 10:59:59.997,999.3408850946106,4,11,11,58,11
2015-01-01 12:00:00.000,1004.0611388590125,4,13,12,59,12
2015-01-01 13:00:00.003,992.145214253915,4,14,13,60,14
2015-01-01 13:59:59.997,975.7316982536653,4,15,15,60,15
2015-01-01 15:00:00.000,963.7717815350662,4,17,17,60,17
2015-01-01 16:00:00.003,963.6775552672538,4,19,19,60,18
2015-01-01 16:59:59.997,970.3224175297937,4,17,17,67,17
2015-01-01 18:00:00.000,997.9784612860828,4,16,16,75,15
2015-01-01 19:00:00.003,1011.8552269642172,4,15,14,82,14
2015-01-01 19:59:59.997,998.4284965813017,4,15,14,85,14
2015-01-01 21:00:00.000,981.542814688714,4,14,14,88,13
2015-01-01 22:00:00.003,953.410331776035,4,14,13,92,12
2015-01-01 22:59:59.997,910.123637827907,4,13,12,93,12
2015-01-02 00:00:00.000,873.05165,4,13,12,93,12
2015-01-02 01:00:00.003,848.5071041091783,5,12,12,94,12
2015-01-02 01:59:59.997,837.2962512462617,5,12,12,95,12
2015-01-02 03:00:00.000,828.8721612536701,5,12,12,96,12
2015-01-02 04:00:00.003,834.2335920847178,5,13,12,97,11
2015-01-02 04:59:59.997,847.422184675495,5,12,12,96,11
2015-01-02 06:00:00.000,878.3653601227281,5,12,11,96,10
2015-01-02 07:00:00.003,920.5216962075601,5,12,11,96,10
2015-01-02 07:59:59.997,959.5475345665632,5,13,13,93,12
2015-01-02 09:00:00.000,980.3023577791565,5,14,14,90,13
2015-01-02 10:00:00.003,998.1286427835389,5,15,15,86,15
2015-01-02 10:59:59.997,1010.6569055401384,5,17,17,78,17
2015-01-02 12:00:00.000,1004.6085217880798,5,18,18,70,18
2015-01-02 13:00:00.003,986.8686306470398,5,20,20,62,20
2015-01-02 13:59:59.997,974.6895967939056,5,22,21,60,21
2015-01-02 15:00:00.000,967.1836801384551,5,23,22,56,22
2015-01-02 16:00:00.003,963.098063516299,5,25,23,53,23
2015-01-02 16:59:59.997,965.1822767893699,5,22,21,61,21
2015-01-02 18:00:00.000,983.538280201691,5,20,19,69,19
2015-01-02 19:00:00.003,979.944355530115,5,18,18,77,17
2015-01-02 19:59:59.997,961.672105871009,5,17,17,80,17
2015-01-02 21:00:00.000,941.3707959130768,5,17,17,83,17
2015-01-02 22:00:00.003,915.5620783227039,5,16,16,86,16
2015-01-02 22:59:59.997,883.4928910985008,5,17,17,88,16
2015-01-03 00:00:00.000,843.24778,5,17,17,90,16
2015-01-03 01:00:00.003,820.757966714421,4,17,17,92,16
2015-01-03 01:59:59.997,799.6621619435149,4,17,17,91,17
2015-01-03 03:00:00.000,795.8657067290422,4,17,17,90,17
2015-01-03 04:00:00.003,793.9779454491559,4,18,18,89,17
2015-01-03 04:59:59.997,798.2250780551329,4,17,17,90,17
2015-01-03 06:00:00.000,819.3135023883019,4,17,17,91,17
2015-01-03 07:00:00.003,841.6346377574879,4,17,17,92,16
2015-01-03 07:59:59.997,866.2254025300789,4,17,17,91,17
2015-01-03 09:00:00.000,884.3443059276539,4,17,17,90,17
2015-01-03 10:00:00.003,900.5823441302879,4,18,18,90,17
2015-01-03 10:59:59.997,869.7148618799257,4,21,20,78,20
2015-01-03 12:00:00.000,840.317921698004,4,23,23,66,22
2015-01-03 13:00:00.003,833.0350414332262,4,26,24,54,24
2015-01-03 13:59:59.997,816.2090090056471,4,26,25,51,25
2015-01-03 15:00:00.000,797.340227606272,4,26,25,48,25
2015-01-03 16:00:00.003,778.4768385207369,4,26,26,44,26
2015-01-03 16:59:59.997,782.7025110907651,4,25,24,49,24
2015-01-03 18:00:00.000,831.151843542935,4,23,23,53,22
2015-01-03 19:00:00.003,878.0526062544512,4,21,21,57,20
2015-01-03 19:59:59.997,887.0980758043128,4,20,20,62,19
2015-01-03 21:00:00.000,892.7423106315009,4,19,19,67,18
2015-01-03 22:00:00.003,884.8872770506161,4,18,18,71,17
2015-01-03 22:59:59.997,865.3791337883741,4,18,18,73,16
2015-01-04 00:00:00.000,837.9693499999998,4,17,17,75,16
2015-01-04 01:00:00.003,819.818821547532,4,16,16,78,15
2015-01-04 01:59:59.997,817.423136171733,4,16,16,81,14
2015-01-04 03:00:00.000,827.5426848671642,4,17,17,85,14
2015-01-04 04:00:00.003,844.376121972897,4,17,17,89,13
2015-01-04 04:59:59.997,874.4011070804139,4,16,16,90,13
2015-01-04 06:00:00.000,922.842375833496,4,16,16,90,13
2015-01-04 07:00:00.003,971.7214932880999,4,16,16,90,12
2015-01-04 07:59:59.997,1017.2037243923038,4,16,15,83,13
2015-01-04 09:00:00.000,1039.890574465495,4,15,15,75,14
2015-01-04 10:00:00.003,1041.943822908124,4,15,15,67,15
2015-01-04 10:59:59.997,1020.8814477493468,4,16,15,59,15
2015-01-04 12:00:00.000,987.8610047366482,4,15,14,50,15
2015-01-04 13:00:00.003,963.4851348951272,4,16,15,41,16
2015-01-04 13:59:59.997,935.3254167753389,4,15,14,38,15
2015-01-04 15:00:00.000,900.5485303942969,4,15,14,35,15
2015-01-04 16:00:00.003,879.4641041722141,4,15,14,31,15
2015-01-04 16:59:59.997,877.8917771181059,4,13,12,33,13
2015-01-04 18:00:00.000,935.2441183378089,4,12,10,34,12
2015-01-04 19:00:00.003,989.4677421744288,4,10,8,36,10
