Date,MWh,uvIndex,HeatIndexC,WindChillC,humidity,tempC
2009-01-01 01:00:00,809.3703684275565,4,8,7,57,7
2009-01-01 02:00:00,801.7583440645022,4,8,7,58,7
2009-01-01 03:00:00,796.8332434096125,4,8,7,60,7
2009-01-01 04:00:00,802.5488978358509,4,8,7,62,7
2009-01-01 05:00:00,814.1596551495779,4,8,7,63,7
2009-01-01 06:00:00,826.3194214584419,4,8,7,64,7
2009-01-01 07:00:00,845.2801687610029,4,8,8,65,7
2009-01-01 08:00:00,844.7429805250518,4,8,9,62,8
2009-01-01 09:00:00,880.9233982132225,4,9,9,60,9
2009-01-01 10:00:00,866.2026372550371,4,10,10,57,10
2009-01-01 11:00:00,827.247860768918,4,11,11,58,11
2009-01-01 12:00:00,802.2941928754781,4,13,12,59,12
2009-01-01 13:00:00,766.959700917629,4,14,13,60,14
2009-01-01 14:00:00,721.8848267766805,4,15,15,60,15
2009-01-01 15:00:00,685.1353664123329,4,17,17,60,17
2009-01-01 16:00:00,656.7896646805092,4,19,19,60,18
2009-01-01 17:00:00,645.5594242044588,4,17,17,67,17
2009-01-01 18:00:00,696.3122733986559,4,16,16,75,15
2009-01-01 19:00:00,756.6615152383711,4,15,14,82,14
2009-01-01 20:00:00,767.4813071142257,4,15,14,85,14
2009-01-01 21:00:00,773.9175927381899,4,14,14,88,13
2009-01-01 22:00:00,761.5806504374706,4,14,13,92,12
2009-01-01 23:00:00,727.6652791655503,4,13,12,93,12
2009-01-02 00:00:00,692.09121,4,13,12,93,12
2009-01-02 01:00:00,638.4508493436174,5,12,12,94,12
2009-01-02 02:00:00,632.4667080539048,5,12,12,95,12
2009-01-02 03:00:00,628.1009520606026,5,12,12,96,12
2009-01-02 04:00:00,625.6225899468856,5,13,12,97,11
2009-01-02 05:00:00,632.5459056730914,5,12,12,96,11
2009-01-02 06:00:00,658.4802316032719,5,12,11,96,10
2009-01-02 07:00:00,708.8526970857764,5,12,11,96,10
2009-01-02 08:00:00,742.2662347466768,5,13,13,93,12
2009-01-02 09:00:00,774.4357511366233,5,14,14,90,13
2009-01-02 10:00:00,762.8907442211814,5,15,15,86,15
2009-01-02 11:00:00,754.7881011174383,5,17,17,78,17
2009-01-02 12:00:00,747.4392764216796,5,18,18,70,18
2009-01-02 13:00:00,717.0005916875781,5,20,20,62,20
2009-01-02 14:00:00,696.0893643259658,5,22,21,60,21
2009-01-02 15:00:00,673.6369170616088,5,23,22,56,22
2009-01-02 16:00:00,665.3576479633346,5,25,23,53,23
2009-01-02 17:00:00,663.8452028964314,5,22,21,61,21
2009-01-02 18:00:00,680.6849057426368,5,20,19,69,19
2009-01-02 19:00:00,718.6548735915032,5,18,18,77,17
2009-01-02 20:00:00,723.0087117489101,5,17,17,80,17
